Fund Name,Date,NAV
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-28,432.5064
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-29,434.1944
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-30,433.7
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-31,433.2716
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-04,430.9953
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-05,432.9651
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-06,437.6403
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-07,434.3528
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-08,432.9219
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-11,432.456
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-12,429.2028
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-13,423.5969
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-14,423.1725
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-18,422.7167
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-19,423.6134
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-21,420.8699
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-22,426.6221
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-25,430.4869
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-26,430.5097
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-27,431.3959
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-28,428.6595
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-11-29,432.0523
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-02,434.2158
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-03,435.6026
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-04,436.3678
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-05,439.6235
