Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-02,11.1452
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-03,11.1226
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-06,10.9575
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-07,11.0087
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-08,11.0021
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-09,11.1238
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-10,11.1258
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-13,11.1358
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-14,11.1623
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-15,11.168
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-16,11.2014
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-17,11.2029
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-20,11.0963
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-21,11.062
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-22,11.0268
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-23,11.0872
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-24,11.1619
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-27,11.1039
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-28,11.0664
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-29,11.0989
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-30,11.0481
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-31,11.0103
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-03,10.8481
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-04,11.0424
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-05,11.1113
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-06,11.1704
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-07,11.1668
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-10,11.14
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-11,11.1822
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-12,11.2335
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-13,11.2302
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-14,11.1962
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-17,11.1566
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-18,11.1252
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-19,11.2549
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-20,11.2194
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-24,11.041
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-25,11.0089
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-26,10.932
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-27,10.9121
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-02-28,10.6285
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-02,10.5686
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-03,10.6725
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-04,10.6356
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-05,10.6753
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-06,10.5226
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-09,10.1421
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-11,10.1604
