Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-27,26.4696
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-28,26.4821
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-29,26.4754
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-02,26.4831
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-04,26.4821
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-05,26.4805
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-06,26.4769
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-09,26.4853
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-10,26.4904
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-11,26.4783
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-12,26.5119
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-13,26.5203
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-16,26.5125
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-17,26.5111
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-18,26.5263
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-19,26.5394
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-20,26.5156
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-23,26.5392
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-24,26.5346
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-25,26.5428
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-26,26.5416
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-27,26.5502
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-30,26.5499
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-05-31,26.5568
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-01,26.5508
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-02,26.547
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-03,26.5312
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-06,26.5252
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-07,26.5402
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-08,26.549
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-09,26.5471
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-10,26.5545
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-13,26.5727
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-14,26.5656
